station,valid,lon,lat,elevation,p01i
BAZ,12:51:00 AM,-98.045,29.709,195,0.1
BAZ,1:51:00 AM,-98.045,29.709,195,0
BAZ,2:51:00 AM,-98.045,29.709,195,0
BAZ,3:51:00 AM,-98.045,29.709,195,0
BAZ,4:51:00 AM,-98.045,29.709,195,0
BAZ,5:51:00 AM,-98.045,29.709,195,0
BAZ,6:51:00 AM,-98.045,29.709,195,0
BAZ,7:51:00 AM,-98.045,29.709,195,0.09
BAZ,8:51:00 AM,-98.045,29.709,195,0
BAZ,9:51:00 AM,-98.045,29.709,195,0.1
BAZ,10:51:00 AM,-98.045,29.709,195,0.01
BAZ,11:51:00 AM,-98.045,29.709,195,1.17
BAZ,12:51:00 PM,-98.045,29.709,195,0
BAZ,1:51:00 PM,-98.045,29.709,195,0
BAZ,2:51:00 PM,-98.045,29.709,195,0
BAZ,3:51:00 PM,-98.045,29.709,195,0
BAZ,4:51:00 PM,-98.045,29.709,195,0
BAZ,5:51:00 PM,-98.045,29.709,195,0
BAZ,6:51:00 PM,-98.045,29.709,195,0
BAZ,7:51:00 PM,-98.045,29.709,195,0
BAZ,8:51:00 PM,-98.045,29.709,195,0
BAZ,9:51:00 PM,-98.045,29.709,195,0
BAZ,10:51:00 PM,-98.045,29.709,195,0
BAZ,11:51:00 PM,-98.045,29.709,195,0
